film_code,total_sales
1471,1955374998.0
1480,4824077992.0
1481,46823010990.0
1482,40668682997.0
1483,40802454989.0
1484,53465047991.0
1485,37174554997.0
1486,12836935992.0
1492,2084629999.0
1493,57855815995.0
1494,28158054990.0
1495,14807289997.0
1496,8145381999.0
1497,17905539000.0
1498,18313169990.0
1499,22657025981.0
1500,1312025000.0
1502,721025000.0
1511,14259112991.0
1512,1116466000.0
1550,1335215000.0
1551,10615174992.0
1552,8735860992.0
1553,15764091997.0
1554,61526541000.0
1556,28846680000.0
1557,1116785000.0
1558,16868212996.0
1559,17285922992.0
1560,3691240000.0
1562,8226580000.0
1563,2824945000.0
1564,2547451999.0
1565,547609999.0
1566,1601015000.0
1567,432805000.0
1568,2045625000.0
1569,4032579999.0
1570,610710000.0
1571,1506640000.0
1572,18431596994.0
1573,14730360000.0
1575,9409874998.0
1576,25907089000.0
1578,10679389999.0
1584,16490000.0
1587,2539110000.0
1589,90555000.0
